intervalo,estimativa,resposavel,subtarefas,atrasado
0,0,1,0,1
11,3,1,0,1
11,5,1,0,0
11,5,1,0,0
0,0,1,0,1
11,5,1,0,0
11,8,1,0,1
11,16,1,0,1
11,16,1,7,1
11,3,1,0,0
11,3,1,0,0
11,5,1,0,0
11,3,1,0,0
11,5,1,0,0
11,0,1,0,0
11,8,1,2,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,2,1,0,0
10,0,1,0,0
10,5,1,3,0
0,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,1
9,0,1,0,0
0,0,1,0,0
6,0,1,0,0
20,0,1,0,1
8,8,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
0,0,1,0,1
4,0,1,0,0
4,0,1,0,0
3,0,1,0,1
3,0,1,0,1
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
0,0,1,0,0
17,8,1,0,1
3,0,1,0,0
14,0,1,0,0
14,0,1,0,0
2,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
12,8,1,0,1
12,3,1,0,1
12,8,1,0,1
0,0,1,0,0
0,0,1,0,1
11,5,1,0,1
11,2,1,0,1
9,8,1,0,1
9,8,1,0,1
9,8,1,0,1
11,5,1,0,0
11,0,1,0,1
2,0,1,0,1
2,0,1,0,0
2,0,1,0,1
18,0,1,0,1
0,0,1,0,1
4,0,1,0,0
11,8,1,0,1
11,8,1,0,1
11,3,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,0
10,5,1,0,1
24,16,1,0,1
7,0,1,0,0
18,0,1,0,1
15,0,1,0,0
20,0,1,0,0
27,0,1,0,0
32,0,1,0,1
6,0,1,0,1
12,0,1,0,1
21,0,1,0,0
14,0,1,0,1
7,0,1,0,1
0,0,1,0,0
22,5,1,2,1
0,0,1,0,0
7,0,1,0,1
7,0,1,0,0
7,0,1,0,1
0,0,1,0,1
10,0,1,0,1
0,0,1,0,1
0,0,1,0,1
2,0,1,0,1
28,5,1,0,1
28,5,1,0,1
16,8,1,6,1
16,8,1,7,1
2,0,1,0,1
2,0,1,0,0
2,0,1,0,0
1,0,1,0,0
13,0,1,0,0
0,0,1,0,0
1,0,1,0,1
0,0,1,0,1
4,0,1,0,0
4,0,1,0,0
0,0,1,0,1
11,8,1,0,1
11,3,1,0,1
11,3,1,0,1
11,3,1,0,1
11,0,1,0,0
11,0,1,0,0
11,16,1,0,1
11,2,1,0,1
11,5,1,1,1
11,5,1,0,1
11,8,1,0,1
11,3,1,0,1
11,2,1,0,1
11,5,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,1
10,0,1,0,0
10,0,1,0,0
0,0,1,0,0
8,0,1,5,1
0,0,1,0,0
0,0,1,0,0
24,0,1,0,0
21,5,1,0,1
0,0,1,0,0
20,0,1,0,0
4,0,1,0,1
4,16,1,0,1
4,0,1,0,1
0,0,1,0,1
0,0,1,0,1
3,0,1,0,1
3,0,1,0,1
3,0,1,0,1
14,8,1,0,1
14,16,1,0,1
14,5,1,0,1
14,5,1,0,1
14,5,1,0,1
14,5,1,0,1
2,0,1,2,1
14,5,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
11,3,1,0,1
11,3,1,0,1
11,5,1,0,0
11,8,1,0,0
11,8,1,0,1
11,3,1,0,1
11,16,1,0,1
11,8,1,0,1
11,8,1,0,1
11,8,1,3,1
11,5,1,0,1
11,8,1,3,1
0,0,1,0,1
8,0,1,0,1
8,0,1,0,1
9,0,1,0,1
9,0,1,0,1
9,0,1,5,1
8,0,1,0,1
8,0,1,0,0
0,0,1,0,1
8,0,1,0,0
0,0,1,0,1
0,0,1,0,1
7,3,1,0,1
0,0,1,0,0
8,0,1,0,0
18,0,1,0,1
4,0,1,0,1
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
2,0,1,0,0
1,0,1,0,1
5,0,1,0,0
14,0,1,0,1
21,0,1,0,0
58,0,1,0,1
30,0,1,0,1
44,0,1,0,1
9,0,1,0,0
34,0,1,0,1
8,0,1,0,1
27,0,1,0,0
0,0,1,0,1
0,0,1,0,1
14,0,1,0,0
13,8,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
3,0,1,14,0
0,5,1,0,1
0,3,1,0,1
11,0,1,0,1
11,2,1,0,1
11,5,1,0,1
11,2,1,0,1
11,8,1,0,1
11,3,1,0,1
11,3,1,0,1
11,2,1,0,1
1,0,1,0,0
0,0,1,0,1
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
0,0,1,0,0
0,0,1,0,0
9,0,1,0,1
9,0,1,0,0
8,0,1,0,0
24,0,1,1,1
7,0,1,0,0
7,0,1,0,0
0,0,1,0,1
0,0,1,0,1
4,0,1,0,0
4,0,1,0,0
4,0,1,0,1
0,0,1,0,0
0,0,1,0,0
10,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
11,0,1,0,1
11,5,1,0,1
11,8,1,0,1
11,5,1,0,1
11,2,1,0,1
11,8,1,0,1
11,3,1,2,1
0,0,1,0,1
10,0,1,0,0
10,16,1,0,0
10,5,1,0,1
10,8,1,0,1
10,8,1,0,0
10,5,1,0,1
10,2,1,0,1
14,3,1,0,1
14,5,1,0,1
14,8,1,0,1
2,0,1,0,0
0,0,1,0,0
0,0,1,0,1
7,0,1,0,1
12,5,1,0,1
0,0,1,0,1
0,0,1,0,1
4,0,1,0,1
0,0,1,0,1
0,0,1,0,1
6,0,1,0,0
3,0,1,4,1
14,5,1,0,0
14,3,1,0,0
14,5,1,0,0
2,0,1,0,1
14,5,1,0,0
14,5,1,0,0
2,0,1,0,1
1,0,1,0,0
32,0,1,0,0
20,0,1,0,1
18,0,1,0,1
22,0,1,0,0
27,0,1,0,1
4,0,1,0,0
12,0,1,0,0
7,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
3,0,1,0,0
7,0,1,0,1
13,0,1,0,0
35,0,1,0,1
0,0,1,0,1
11,5,1,0,1
2,0,1,0,1
2,0,1,0,1
2,0,1,0,1
11,3,1,0,1
11,8,1,0,1
11,5,1,0,0
11,8,1,0,1
11,16,1,0,1
11,5,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
8,0,1,0,0
8,0,1,0,0
14,5,1,0,1
14,16,1,0,1
14,3,1,0,1
14,5,1,0,1
14,3,1,0,1
14,2,1,0,1
0,0,1,0,1
0,0,1,0,1
7,0,1,0,1
7,0,1,0,1
0,0,1,0,1
8,0,1,0,1
4,0,1,0,1
4,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,0
0,0,1,0,1
0,0,1,0,1
5,0,1,0,0
14,8,1,0,0
14,8,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
-3,0,1,0,1
11,3,1,0,0
2,0,1,0,0
7,0,1,0,0
9,0,1,3,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
8,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
6,0,1,0,0
0,0,1,0,0
1,0,1,0,1
17,0,1,0,0
6,0,1,0,0
3,0,1,0,0
0,0,1,0,1
17,0,1,0,0
8,0,1,0,1
20,0,1,0,1
6,0,1,0,1
13,0,1,0,0
29,0,1,0,0
34,0,1,0,1
10,0,1,0,1
21,0,1,0,0
30,0,1,0,0
19,0,1,0,0
7,0,1,0,1
23,0,1,0,0
0,0,1,0,0
1,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,6,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
1,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
2,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,1
10,0,1,0,0
24,0,1,0,0
3,9,1,0,1
4,9,1,0,1
1,12,1,0,1
10,0,1,0,0
16,16,1,0,0
0,0,1,0,1
0,0,1,0,0
18,0,1,0,1
1,0,1,0,0
13,0,1,0,0
11,0,1,0,0
20,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
8,0,1,0,1
0,5,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
1,0,1,5,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
11,3,1,0,0
11,16,1,0,1
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,1
9,0,1,0,0
9,0,1,0,0
13,0,1,0,1
13,0,1,0,0
13,0,1,0,1
13,0,1,0,1
22,8,1,0,1
71,0,1,0,0
8,0,1,0,0
8,0,1,0,1
7,0,1,1,1
4,0,1,0,1
18,16,1,0,0
1,0,1,0,1
11,2,1,0,1
11,3,1,0,0
11,3,1,0,1
11,2,1,0,0
11,3,1,1,1
11,8,1,1,1
20,4,1,0,0
8,0,1,0,0
8,0,1,0,0
0,0,1,0,1
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
3,0,1,0,0
1,0,1,0,1
6,0,1,0,1
7,0,1,0,1
16,16,1,0,1
2,0,1,0,0
0,0,1,0,1
12,0,1,0,0
1,0,1,0,0
204,0,1,0,0
3,0,1,0,0
19,12,1,0,0
11,5,1,0,1
11,5,1,3,1
11,5,1,0,1
11,3,1,0,1
11,8,1,0,1
11,8,1,9,1
11,8,1,0,1
25,24,1,0,0
25,8,1,0,0
25,16,1,0,0
25,24,1,20,1
0,0,1,0,1
10,0,1,0,1
10,0,1,0,1
8,0,1,0,0
5,0,1,0,1
7,0,1,0,0
7,0,1,0,0
7,0,1,0,1
4,3,1,0,1
53,8,1,0,1
109,2,1,0,1
39,24,1,13,1
95,5,1,0,1
67,3,1,0,1
39,5,1,1,1
95,8,1,2,1
109,8,1,0,1
67,16,1,0,1
137,8,1,0,1
39,16,1,0,1
109,16,1,0,1
67,8,1,0,1
109,8,1,8,1
137,8,1,0,1
47,0,1,0,1
2,0,1,0,0
0,0,1,0,1
35,16,1,0,1
7,0,1,0,1
7,0,1,0,1
11,16,1,3,1
11,8,1,0,1
31,0,1,0,1
31,0,1,0,1
34,0,1,0,0
39,0,1,0,0
15,0,1,0,1
4,16,1,0,1
4,0,1,0,1
4,0,1,0,1
0,0,1,0,1
20,4,1,0,0
0,4,1,0,1
0,0,1,0,1
35,0,1,0,0
21,0,1,0,0
18,3,1,0,1
21,0,1,0,0
18,3,1,0,1
18,8,1,0,1
