intervalo,estimativa,resposavel,subtarefas,atrasado
10,0,144,0,0
0,0,125,0,0
0,0,138,0,0
9,0,15,0,0
9,0,118,0,0
9,0,128,0,0
8,0,128,0,0
0,0,138,0,1
12,16,0,0,1
0,0,138,0,1
0,0,138,0,1
31,0,138,0,1
11,16,0,0,1
11,0,0,0,1
11,8,159,0,1
11,8,159,1,1
11,3,0,0,1
25,2,162,2,1
11,3,134,0,0
11,3,159,0,1
11,5,134,0,0
11,3,134,0,0
11,5,134,0,0
11,2,134,0,0
3,0,140,0,0
0,0,138,0,0
3,0,128,0,0
10,2,0,0,0
3,0,118,0,0
3,0,118,0,0
0,0,138,0,0
23,0,138,0,1
12,0,140,0,0
16,0,140,0,0
26,0,140,0,0
19,0,138,0,0
13,0,138,0,1
20,0,140,0,0
15,0,138,0,1
0,0,138,0,1
8,0,134,0,0
8,0,134,0,0
1,0,118,0,1
4,0,140,0,0
5,0,140,0,0
6,0,140,0,0
1,0,138,0,1
7,0,134,0,0
-1,0,118,0,1
0,16,0,0,1
0,0,0,0,1
11,16,0,0,0
0,0,0,0,0
1,0,140,0,0
10,0,140,0,0
0,0,140,0,0
0,0,0,0,1
0,16,0,0,1
0,8,0,0,1
0,8,0,0,1
0,0,0,0,1
109,0,0,0,0
11,3,118,3,0
11,5,118,2,0
11,5,118,0,1
11,3,118,0,1
11,8,0,3,1
0,0,138,0,1
3,0,116,0,1
3,0,162,0,1
3,0,134,0,0
10,0,118,0,0
0,0,138,0,1
0,0,138,0,1
2,0,134,0,0
9,0,118,0,0
8,0,144,0,0
1,0,134,0,0
1,0,116,0,1
0,0,140,0,0
14,2,162,0,1
7,0,118,0,0
7,0,140,0,0
11,0,0,0,0
11,0,0,0,1
11,16,0,0,1
11,0,0,0,1
11,0,162,0,1
11,2,159,1,1
11,2,159,1,1
11,2,159,1,1
11,16,0,0,1
25,5,134,0,1
11,5,134,0,0
11,8,134,0,1
4,0,118,0,0
0,0,140,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
5,0,140,0,0
0,0,138,0,0
0,0,138,0,0
1,0,128,0,0
1,0,128,0,0
1,0,128,0,0
1,0,128,0,0
16,0,140,0,1
0,0,138,0,1
0,0,138,0,1
0,0,128,0,0
11,0,0,0,1
11,16,0,0,0
11,0,0,0,1
11,2,144,1,1
11,2,17,0,0
11,5,144,3,1
11,8,144,6,1
11,2,144,0,1
11,5,144,5,1
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
0,16,0,0,1
11,3,128,0,1
11,5,118,2,1
11,5,118,0,1
11,3,118,0,1
11,5,128,0,0
24,0,139,0,0
9,0,144,0,0
0,0,140,0,0
2,0,159,4,1
5,0,138,0,1
10,0,83,0,1
0,0,140,0,0
