intervalo,estimativa,resposavel,subtarefas,atrasado
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,2,1
0,0,1,0,0
325,16,1,0,0
316,4,1,0,0
50,0,1,0,0
7,0,1,0,1
74,0,1,0,1
289,8,1,0,0
79,0,1,0,1
15,0,1,0,1
161,0,1,0,0
1,0,1,0,1
0,0,1,9,1
1,16,1,0,1
1,16,1,0,1
4,20,1,0,1
5,1,1,1,1
148,40,1,0,0
45,153,1,0,1
28,153,1,0,1
114,1,1,0,0
100,5,1,0,0
84,3,1,0,0
151,5,1,0,0
25,16,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
22,4,1,0,1
36,8,1,0,1
36,12,1,0,1
0,0,1,0,1
0,0,1,0,1
28,0,1,0,1
63,1,1,0,0
77,3,1,0,0
14,2,1,0,0
77,12,1,0,0
46,16,1,0,0
2,0,1,0,1
10,24,1,0,1
73,24,1,0,0
18,0,1,0,1
18,20,1,0,1
18,12,1,0,0
17,32,1,0,1
43,0,1,0,0
8,4,1,0,0
14,34,1,8,1
14,26,1,3,1
15,2,1,0,0
15,2,1,0,0
15,2,1,0,0
15,5,1,0,0
15,2,1,0,0
14,2,1,0,0
25,4,1,0,0
11,0,1,0,0
11,0,1,0,0
10,0,1,0,0
23,0,1,0,1
21,1,1,0,0
21,3,1,0,0
4,0,1,0,0
18,3,1,0,0
30,8,1,0,0
2,0,1,0,0
2,0,1,0,0
16,5,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
11,16,1,0,0
11,5,1,0,0
11,5,1,0,0
11,0,1,0,0
11,16,1,0,0
11,0,1,0,0
9,0,1,0,0
9,0,1,0,0
8,0,1,0,0
7,0,1,0,0
490,5,1,0,0
18,0,1,0,0
3,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,1
0,0,1,0,1
1,0,1,0,0
1,0,1,0,0
0,0,1,0,0
14,8,1,0,0
11,5,1,0,0
11,0,1,0,0
11,5,1,0,0
25,5,1,0,0
0,0,1,0,1
10,0,1,0,0
7,3,1,0,0
7,8,1,0,0
2,0,1,0,0
2,0,1,0,0
86,5,1,0,0
2,0,1,0,0
2,0,1,0,0
1,0,1,0,0
1,0,1,0,0
15,8,1,0,1
11,5,1,0,0
11,5,1,0,0
11,16,1,0,0
10,16,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
28,16,1,0,1
14,3,1,0,1
11,1,1,0,1
193,0,1,0,1
11,8,1,0,1
3,0,1,0,1
14,3,1,0,0
11,2,1,0,0
11,2,1,0,0
25,16,1,0,0
11,16,1,0,1
10,2,1,0,0
10,2,1,0,0
9,3,1,0,0
9,16,1,0,1
9,2,1,0,0
9,5,1,0,0
9,0,1,0,0
4,0,1,0,0
4,0,1,0,1
4,0,1,0,0
0,0,1,0,1
11,5,1,0,0
11,8,1,0,1
11,24,1,0,1
11,24,1,0,1
39,3,1,0,1
11,16,1,0,0
10,0,1,0,0
9,0,1,0,1
7,0,1,0,0
2,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
11,2,1,0,0
11,5,1,0,1
11,0,1,0,0
11,0,1,0,0
11,5,1,0,0
11,8,1,0,1
11,16,1,0,0
25,16,1,0,1
11,5,1,0,1
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
9,0,1,0,0
9,0,1,0,0
8,0,1,0,0
3,5,1,0,1
3,5,1,0,1
17,8,1,0,1
0,0,1,0,0
11,3,1,0,1
11,24,1,0,1
11,5,1,0,1
11,0,1,0,0
11,0,1,0,0
10,0,1,0,0
20,2,1,0,0
1,6,1,0,1
8,0,1,0,1
7,0,1,0,1
7,0,1,0,1
1,16,1,0,1
14,3,1,0,0
10,5,1,0,0
10,24,1,0,1
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,16,1,0,0
9,16,1,0,0
9,8,1,0,0
9,24,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
0,3,1,0,1
4,0,1,0,0
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
0,3,1,0,1
2,0,1,0,0
1,3,1,0,0
11,3,1,0,0
11,5,1,0,0
11,8,1,0,1
11,24,1,0,0
10,0,1,0,0
9,0,1,0,0
8,0,1,0,0
4,0,1,0,0
2,0,1,0,1
2,0,1,0,1
2,0,1,0,1
16,3,1,0,0
11,8,1,0,1
11,3,1,0,0
11,16,1,0,1
