intervalo,estimativa,resposavel,subtarefas,atrasado
0,0,0,0,1
0,0,9,0,1
0,0,21,0,1
0,0,21,0,1
0,0,10,0,1
0,0,10,0,0
0,0,15,0,0
0,0,15,0,0
0,0,83,0,1
0,0,10,0,0
0,0,81,0,0
0,0,10,0,0
0,0,81,0,0
0,0,76,0,0
0,0,86,0,1
0,0,0,0,0
0,0,17,0,0
0,0,0,0,1
0,0,81,0,1
0,0,86,0,1
0,0,86,0,0
0,0,15,0,1
0,0,81,0,1
0,0,10,0,0
0,0,81,0,1
0,0,10,0,0
0,0,0,0,1
0,0,10,0,1
0,0,10,0,1
0,0,0,0,1
0,0,0,0,1
0,0,74,2,1
0,0,86,0,0
325,16,108,0,0
316,4,109,0,0
50,0,0,0,0
7,0,81,0,1
74,0,0,0,1
289,8,10,0,0
79,0,10,0,1
15,0,81,0,1
161,0,109,0,0
1,0,0,0,1
0,0,106,9,1
1,16,0,0,1
1,16,0,0,1
4,20,0,0,1
5,1,81,1,1
148,40,81,0,0
45,153,0,0,1
28,153,103,0,1
114,1,109,0,0
100,5,81,0,0
84,3,108,0,0
151,5,109,0,0
25,16,81,0,0
0,0,0,0,1
0,0,21,0,1
0,0,9,0,1
22,4,0,0,1
36,8,0,0,1
36,12,106,0,1
0,0,0,0,1
0,0,9,0,1
28,0,0,0,1
63,1,109,0,0
77,3,108,0,0
14,2,10,0,0
77,12,109,0,0
46,16,81,0,0
2,0,0,0,1
10,24,81,0,1
73,24,81,0,0
18,0,81,0,1
18,20,10,0,1
18,12,10,0,0
17,32,81,0,1
43,0,10,0,0
8,4,10,0,0
14,34,0,8,1
14,26,0,3,1
15,2,81,0,0
15,2,81,0,0
15,2,81,0,0
15,5,10,0,0
15,2,81,0,0
14,2,81,0,0
25,4,0,0,0
11,0,10,0,0
11,0,81,0,0
10,0,81,0,0
23,0,81,0,1
21,1,109,0,0
21,3,81,0,0
4,0,10,0,0
18,3,10,0,0
30,8,10,0,0
2,0,10,0,0
2,0,81,0,0
16,5,10,0,0
1,0,81,0,0
1,0,81,0,0
1,0,81,0,0
1,0,81,0,0
0,0,81,0,0
0,0,81,0,0
0,0,81,0,0
11,16,10,0,0
11,5,81,0,0
11,5,81,0,0
11,0,10,0,0
11,16,10,0,0
11,0,81,0,0
9,0,10,0,0
9,0,10,0,0
8,0,81,0,0
7,0,10,0,0
490,5,10,0,0
18,0,10,0,0
3,0,81,0,0
2,0,10,0,0
2,0,81,0,0
2,0,0,0,1
0,0,0,0,1
1,0,81,0,0
1,0,81,0,0
0,0,0,0,0
0,0,10,0,1
0,0,10,0,1
0,0,54,0,0
0,0,21,0,1
0,0,21,0,0
0,0,10,0,1
0,0,83,0,0
0,0,81,0,0
0,0,81,0,0
0,0,10,0,0
0,0,76,0,0
0,0,81,0,0
0,0,81,0,1
0,0,10,0,1
0,0,74,0,1
0,0,86,0,0
0,0,10,0,1
0,0,76,0,1
0,0,10,0,1
0,0,86,0,1
0,0,81,0,1
0,0,15,0,1
0,1,86,0,1
0,0,81,0,1
0,0,81,0,1
0,0,0,0,1
0,0,81,0,1
1,16,0,0,1
0,0,10,0,1
0,1,0,0,1
81,0,0,0,0
65,0,92,0,0
65,0,10,0,0
65,0,10,0,0
65,0,10,0,0
42,0,81,0,1
95,52,81,0,1
101,0,0,0,1
148,5,109,0,0
142,1,109,0,0
114,0,108,0,0
1,10,81,0,0
30,3,10,0,0
25,4,81,0,0
25,16,10,0,1
74,16,10,0,0
24,20,10,0,0
0,0,9,0,1
0,0,21,0,1
0,0,21,0,1
0,0,9,0,1
0,0,21,0,1
0,0,9,0,1
36,12,0,0,1
36,10,0,0,1
0,16,0,0,1
36,8,0,0,1
2,0,98,0,0
36,3,81,0,1
3,0,0,0,1
35,0,10,0,1
7,0,86,3,1
10,24,81,0,1
31,13,10,0,1
31,16,10,0,1
45,8,10,0,0
31,2,10,0,0
31,17,81,0,1
43,2,81,0,0
21,39,106,0,1
18,19,10,0,1
18,4,81,0,1
17,2,10,0,1
17,0,86,0,1
8,2,10,0,0
36,8,10,0,1
6,0,0,0,1
15,8,10,0,0
15,4,10,0,0
15,5,81,0,0
15,4,81,0,0
15,4,81,0,0
1,0,10,0,0
15,4,81,0,0
11,13,10,0,0
11,16,10,0,0
25,4,81,0,0
11,4,0,0,0
11,16,0,0,0
11,0,10,0,0
9,0,10,0,0
8,0,10,0,0
0,0,0,0,1
4,0,81,0,0
59,0,108,0,1
2,0,10,0,0
2,0,10,0,0
2,0,10,0,0
1,0,10,0,0
1,0,81,0,0
1,0,10,0,0
11,5,81,0,0
11,16,0,0,1
11,5,81,0,0
11,8,81,0,0
11,3,10,0,0
10,0,81,0,0
37,24,109,0,1
22,8,10,0,0
22,5,109,0,0
7,0,10,0,0
21,3,109,0,0
4,0,10,0,0
3,0,81,0,0
2,0,81,0,0
2,0,81,0,0
2,0,81,0,0
2,0,81,0,0
1,0,81,0,0
11,16,0,0,0
11,0,109,0,0
4,0,111,0,0
10,0,10,0,0
10,0,108,0,0
10,0,10,0,0
9,0,81,0,0
22,5,108,0,0
14,8,10,0,0
11,5,81,0,0
11,0,10,0,0
11,5,10,0,0
25,5,108,0,0
0,0,99,0,1
10,0,108,0,0
7,3,109,0,0
7,8,108,0,0
2,0,10,0,0
2,0,108,0,0
86,5,81,0,0
2,0,109,0,0
2,0,108,0,0
1,0,109,0,0
1,0,10,0,0
15,8,10,0,1
11,5,10,0,0
11,5,109,0,0
11,16,81,0,0
10,16,0,0,0
9,0,10,0,0
9,0,108,0,0
9,0,108,0,0
9,0,109,0,0
4,0,81,0,0
4,0,108,0,0
4,0,10,0,0
28,16,81,0,1
14,3,0,0,1
11,1,10,0,1
193,0,17,0,1
