intervalo,estimativa,Minutos,atrasado
10,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
17,0,0,1
0,0,0,0
0,0,0,0
11,0,0,0
0,0,0,1
0,0,0,0
7,0,0,0
28,5,0,1
0,0,0,1
11,8,0,1
9,0,0,1
25,0,0,1
0,0,0,0
11,2,0,0
8,0,0,0
32,0,0,0
5,0,0,0
0,0,0,1
14,6,0,1
0,5,0,1
0,0,0,1
0,0,0,1
0,0,0,1
22,4,0,1
0,0,0,1
0,0,0,0
10,16,0,0
3,0,0,1
8,3,0,0
0,0,0,0
0,0,0,1
0,0,0,0
5,0,0,1
0,0,0,1
14,0,0,0
0,0,0,1
14,8,0,1
1,0,0,0
11,16,0,1
15,0,0,1
0,0,0,1
3,0,0,0
27,0,0,0
9,3,124,0
11,16,960,1
29,3,124,0
2,0,82,0
11,2,72,0
9,0,120,0
11,8,1710,1
17,24,1395,1
11,16,735,1
11,8,570,0
0,16,807,1
10,0,69,0
0,0,351,0
10,0,90,0
50,8,273,1
9,0,80,1
13,8,390,1
28,8,60,1
1,0,286,1
11,2,34,0
11,3,120,1
7,0,60,0
8,0,410,1
0,8,130,1
4,0,34,1
11,5,510,0
21,0,1275,1
7,0,30,0
11,3,300,1
11,0,722,1
8,0,30,0
11,8,99,1
7,0,350,1
10,5,784,1
137,8,315,1
3,0,90,0
11,8,555,1
11,5,390,1
4,0,120,0
0,8,176,1
3,0,120,0
16,2,90,1
0,0,120,1
11,16,40,1
15,5,180,0
0,0,15,1
24,8,1065,1
1,0,130,0
11,16,754,1
206,8,360,0
2,0,315,1
11,2,69,0
0,0,751,1
11,8,1323,1
25,16,375,1
11,3,68,0
7,0,65,0
10,0,95,0
9,6,279,1
16,8,477,1
2,0,120,0
7,0,60,1
1,0,184,1
11,2,20,0
16,16,880,0
25,16,929,1
11,8,368,1
4,0,30,0
9,0,10,0
0,0,120,1
11,5,20,0
4,0,345,0
4,0,30,1
27,16,1650,1
10,5,677,1
11,8,459,1
0,0,55,1
3,4,169,1
13,2,60,1
11,5,684,0
0,16,440,1
11,3,30,1
7,0,30,0
25,8,679,1
25,5,324,1
3,0,400,1
0,0,120,1
8,0,49,0
9,0,504,1
9,0,300,0
25,16,410,1
10,0,80,0
7,0,20,0
0,0,244,1
11,2,10,1
9,0,280,0
11,3,140,0
2,0,150,1
10,0,24,0
11,8,1089,0
6,0,30,1
1,3,610,1
7,0,40,1
25,5,30,1
11,8,590,1
11,5,80,1
0,0,830,1
11,0,227,1
0,0,399,1
3,0,555,1
21,39,518,1
25,16,720,1
8,0,5,0
0,0,15,1
37,5,300,1
16,3,60,0
11,5,249,1
2,0,37,0
12,5,214,0
1,0,60,1
11,3,90,0
67,16,270,1
11,5,970,1
11,3,180,1
0,0,174,1
7,0,180,1
11,2,120,1
10,0,90,0
4,16,240,1
4,0,20,0
9,8,559,1
11,2,5,0
11,3,120,0
13,0,3902,1
10,0,2423,1
0,0,180,0
17,16,472,0
25,16,1034,1
11,8,480,1
11,3,210,0
11,0,40,0
1,0,69,1
14,5,439,1
1,0,23,0
7,0,55,0
7,0,120,0
8,0,399,1
11,8,480,0
2,0,30,0
11,2,5,0
0,0,30,1
0,0,878,1
11,8,390,1
23,2,22,0
9,0,184,0
0,0,180,1
8,0,30,0
9,0,110,0
10,2,75,1
2,2,45,1
0,0,285,1
11,5,360,1
13,0,644,1
0,0,30,1
11,2,49,0
8,5,354,1
4,0,236,0
25,16,1314,1
0,0,150,1
9,0,244,1
11,5,130,1
11,3,60,1
7,0,20,1
9,3,130,0
13,8,404,1
24,0,804,0
0,8,185,1
10,0,30,0
8,0,351,0
11,8,1500,1
11,3,120,0
2,0,24,0
2,0,195,0
2,0,26,0
31,13,285,1
9,0,390,0
11,16,1856,1
15,3,24,0
0,0,69,1
12,0,37,1
25,8,371,1
11,0,305,0
10,0,75,0
1,0,210,1
10,8,144,1
12,5,99,0
11,0,1820,1
4,0,90,0
10,0,309,0
2,0,60,0
7,0,30,1
2,0,126,1
8,0,90,0
2,0,90,0
4,0,30,1
11,2,60,0
11,16,1927,0
11,3,109,0
11,0,30,1
14,5,350,1
12,0,75,0
2,0,390,1
10,0,1177,1
25,8,480,0
11,8,510,1
2,0,330,1
14,5,270,0
11,2,143,0
5,0,29,0
0,0,428,1
10,0,24,0
10,0,70,0
9,0,2880,1
11,5,95,1
0,0,180,0
11,3,94,0
11,0,51,0
14,8,510,1
4,0,90,0
1,0,30,0
14,2,60,0
0,0,15,1
7,0,5,0
8,0,20,0
9,0,186,0
8,0,165,1
4,0,180,1
24,5,300,1
7,0,120,0
3,0,1530,0
11,8,660,0
