intervalo,estimativa,Minutos,atrasado
23,0,390,0
2,0,105,0
0,0,43,0
3,0,230,1
14,3,180,1
4,0,15,1
0,16,1200,1
7,0,18,0
1,0,30,1
4,0,84,0
7,0,120,0
1,0,65,0
1,0,95,1
9,0,8,0
12,0,15,0
10,8,335,1
10,0,320,0
9,3,160,0
0,16,2025,1
11,8,736,1
11,2,60,0
11,5,180,0
4,0,990,1
4,0,184,0
25,4,240,0
1,0,30,0
0,0,607,1
30,3,180,0
2,0,179,0
11,8,465,0
2,0,199,0
10,8,829,1
10,3,55,0
0,0,1395,1
11,5,294,1
8,0,67,0
11,3,160,1
0,0,709,1
4,0,90,0
11,3,120,0
1,0,75,0
11,2,109,1
9,0,130,0
0,0,121,1
13,3,35,1
9,0,90,0
11,5,649,1
11,0,114,1
3,0,46,0
1,0,60,0
24,8,480,1
11,2,32,0
1,0,420,1
0,0,30,1
9,0,20,0
3,0,150,0
9,0,120,0
4,0,65,1
11,3,240,1
3,0,40,1
10,0,10,1
11,5,925,1
14,2,275,0
7,0,70,0
9,0,40,0
3,0,249,1
18,0,120,0
3,0,60,0
11,0,39,0
11,3,1244,1
3,0,130,0
0,0,279,1
0,0,60,0
10,0,29,0
3,0,45,0
3,0,343,1
0,0,420,1
8,0,69,0
21,16,610,1
11,2,15,0
10,0,152,0
11,0,276,1
2,0,15,1
14,2,15,0
11,0,80,0
11,3,218,0
3,0,10,0
1,8,600,1
77,3,238,0
0,0,180,1
29,8,369,1
29,16,421,1
11,0,239,1
0,8,214,1
11,8,480,1
21,8,270,0
4,0,30,0
0,0,10,1
4,0,240,1
11,5,293,1
2,2,55,1
1,0,30,1
28,16,777,1
11,5,323,0
4,0,69,0
10,0,369,0
3,0,93,1
9,0,1515,1
11,5,480,1
10,0,11,0
1,0,90,0
11,8,360,1
10,5,324,1
11,8,514,1
11,16,560,0
9,0,60,0
11,3,60,0
25,8,480,1
11,5,336,0
11,8,480,1
0,0,629,1
9,0,230,0
14,2,45,0
7,0,195,0
7,6,199,0
2,0,399,0
1,0,49,0
11,5,357,1
39,3,64,1
14,3,120,1
15,8,692,0
225,5,275,0
11,0,730,0
1,0,10,1
0,16,495,1
0,0,126,1
7,0,504,1
10,2,60,1
10,0,30,1
10,0,30,0
1,0,450,1
25,16,810,1
3,0,40,1
10,0,60,0
25,16,435,1
2,0,15,0
1,0,40,0
4,0,75,0
11,0,60,0
21,0,779,0
13,5,169,0
11,5,137,1
25,5,210,1
11,5,330,1
14,8,190,1
11,0,10,0
6,0,90,0
4,0,110,0
3,0,11,0
10,0,240,0
12,0,512,0
2,0,90,1
9,0,323,1
0,16,1330,1
8,5,360,1
0,0,61,1
7,0,30,0
10,0,120,0
11,16,558,1
4,0,32,0
0,0,22,1
11,16,1389,1
0,0,1099,1
11,8,1055,1
8,3,130,1
11,5,180,0
10,0,345,1
15,24,2995,1
25,16,398,1
15,16,1830,1
11,5,270,0
15,4,60,0
15,2,120,0
12,5,369,0
11,2,199,0
3,0,45,0
11,5,279,0
25,5,308,0
11,3,360,0
10,16,780,0
11,16,1800,1
25,16,160,1
9,0,345,1
7,0,60,0
10,0,60,0
11,5,75,1
1,0,55,0
11,8,225,0
11,16,330,1
24,0,150,1
8,0,80,0
9,5,969,1
4,0,8,0
9,0,150,0
11,5,510,1
2,0,670,1
13,0,145,1
4,0,73,0
10,0,5,0
9,2,80,1
11,5,300,1
25,0,585,0
11,2,10,0
2,5,223,1
4,0,107,1
0,0,7650,0
11,0,150,0
0,0,36,1
9,2,60,0
11,16,1025,1
2,0,60,0
-3,2,30,1
7,0,45,0
0,0,302,1
15,5,300,0
7,0,16,0
1,0,90,0
