id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
13992,23,0,1,0,0,390,0
15652,2,0,1,0,0,105,0
18569,0,0,1,0,1,43,0
19565,3,0,1,0,0,231,1
22814,14,3,1,0,0,180,1
11384,4,0,1,0,0,15,1
15011,0,16,0,0,0,1200,1
15343,7,0,1,0,2,19,0
16339,1,0,1,0,0,30,1
17218,4,0,1,0,0,85,0
18878,7,0,1,0,1,120,0
16362,1,0,1,0,1,96,1
16531,9,0,1,0,1,8,0
16030,1,0,1,0,2,65,0
17358,12,0,0,0,0,15,0
17859,10,8,1,0,0,335,1
17527,10,0,1,0,2,320,0
21108,9,3,1,0,0,160,0
22104,0,16,0,0,0,2025,1
10766,11,8,1,0,0,736,1
12094,11,2,1,2,0,60,0
12426,11,5,1,0,0,180,0
17381,4,0,1,6,2,990,1
18377,4,0,1,0,1,184,0
7663,25,4,1,0,0,240,0
14819,1,0,1,0,0,30,0
18068,0,0,0,0,0,608,1
7640,30,3,1,0,0,180,0
10265,2,0,1,0,0,180,0
12804,11,8,1,0,0,465,0
14132,2,0,1,0,0,200,0
15134,10,8,1,0,0,829,1
16462,10,3,1,0,1,55,0
18755,0,0,0,0,0,1396,1
19757,11,5,1,0,0,295,1
20298,8,0,1,0,0,67,0
21626,11,3,1,0,0,160,1
22290,0,0,1,2,0,710,1
15111,4,0,1,0,2,90,0
18778,11,3,1,3,0,120,0
19688,1,0,1,0,0,75,0
20106,11,2,1,1,0,110,1
20275,9,0,1,0,0,130,0
21603,0,0,0,0,0,121,1
14301,13,3,1,0,0,35,1
19465,11,5,1,7,0,650,1
19047,9,0,1,0,0,90,0
20375,3,0,1,0,1,46,0
20916,11,0,0,0,0,114,1
12326,1,0,1,0,0,60,0
13405,24,8,1,0,0,480,1
16654,11,2,1,0,0,32,0
21563,1,0,1,0,0,420,1
13345,0,0,1,0,0,30,1
18669,9,0,1,0,1,20,0
9870,3,0,1,0,0,150,0
16940,9,0,1,0,1,120,0
18277,4,0,1,0,0,65,1
10348,11,3,1,0,0,240,1
12217,3,0,1,0,0,41,1
22004,10,0,1,0,0,10,1
9661,11,5,1,0,0,925,1
11825,14,2,1,0,0,275,0
17736,7,0,0,0,0,70,0
