id,name,color,active
1,Melhoria/Funcionalidade,#e3964f,1
2,Defeito,#f7233c,1
3,Tarefa,#00f0ff,1
4,Physics Engine.,#f5d04c,1
5,Physics Engine,#008000,1
6,CadastroGrátis,#000000,1
7,morno,#ff00ff,1
8,defe,#00ffff,0
9,taref,#ffff00,0
10,Defeito do Cliente,#f7d24d,1
11,analise suporte,#ff1493,1
12,Erros Conhecidos,#663399,1
13,Teste,#000080,0
14,Tarefamelho,#8b4513,0
15,UX/UI,#ff78d1,1
16,Cash,#3300ff,1
17,Time,#00ffa3,1
18,Task,#ff0808,1
19,Marketing,#eda00a,1
20,retrospectiva,#059bf2,1
21,defe,#16d984,0
22,defe,#f5d04c,0
23,defe,#008000,0
24,defe,#000000,0
25,android,#ff00ff,1
26,bug,#00ffff,0
27,production,#ffff00,1
28,ios,#ffc0cb,1
29,controlpanel,#7b14ff,1
30,publish,#663399,1
31,defe,#000080,0
32,mekatronik,#8b4513,1
33,flowuop,#8b0000,0
34,flowup,#00a3ff,0
35,leads,#d3d3d3,1
36,RD,#696969,1
37,"Site ",#ed0a0a,1
38,SEO,#059bf2,1
39,defe,#16d984,0
40,webinar,#f5d04c,1
41,design,#008000,1
42,suporte,#ff0000,1
43,defe,#ff00ff,0
44,Elicitação de Requisito,#27b0b0,1
45,cas,#ffff00,0
46,taref,#ffc0cb,0
47,Cadari,#ff1493,1
48,Estimativa,#663399,1
49,Testes Manuais,#000080,1
50,defe,#8b4513,0
51,Atualização de Escolas,#8b0000,1
52,defe,#ff4500,0
53,mel,#d3d3d3,0
54,defe,#696969,0
55,defe,#ed0a0a,0
56,Gantt,#059bf2,1
57,Kanban,#fff500,1
58,White Label,#00fff0,1
59,fluxodecaixa,#008000,1
60,shippingservices,#000000,1
61,WO Design,#ff00ff,1
62,SONPEX,#00ffff,1
63,luzems,#d1d132,1
64,Criação,#29ffd8,1
65,Script,#14c7ff,1
66,H3M,#04d6f2,1
67,shiplog,#000080,1
68,Pendencia,#8b4513,1
