,Melhoria/Funcionalidade,Defeito,Tarefa,Defeito do Cliente,Cash,Task,Planejado,Não Planejado,Mobile,backend,medium,high,flowup-marketing,frontend,Planejada,Conteúdo FlowUp,Não Planejada
,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
